coverage_code,shift_code,reparto_id,gruppo,role,ruolo,min_ruolo
d,G,ADT,000,OSS,OSS,0
p,G,ADT,000,OSS,OSS,0
s,G,ADT,000,OSS,OSS,2
S,G,MED,000,MEDSP,MEDSP,0
S,N,MEDG,000,MEDGU,MEDGU,0
S,G,REP0,000,IP,IP,1
S,G,REP0,000,OSS,OSS,1
S,M,REP0,000,ASA,ASA,0
S,N,REP0,000,IP,IP,1
S,P,REP0,000,ASA,ASA,0
S,P,REP0,000,IP,IP,1
S,P,REP0,000,OSS,OSS,0
S,M,REP1,000,IP,IP,2
S,M,REP1,000,OSS,OSS,0
S,N,REP1,000,IP,IP,1
S,N,REP1,000,OSS,OSS,1
S,P,REP1,000,IP,IP,2
S,P,REP1,000,OSS,OSS,3
S,M,REP2,000,IP,IP,2
S,M,REP2,000,OSS,OSS,5
S,N,REP2,000,IP,IP,1
S,N,REP2,000,OSS,OSS,1
S,P,REP2,000,IP,IP,2
S,P,REP2,000,OSS,OSS,3
S,M,REP3,000,IP,IP,2
S,M,REP3,000,OSS,OSS,5
S,N,REP3,000,IP,IP,1
S,N,REP3,000,OSS,OSS,1
S,P,REP3,000,IP,IP,2
S,P,REP3,000,OSS,OSS,3
S,M,REP5,000,IP,IP,2
S,M,REP5,000,OSS,OSS,5
S,N,REP5,000,IP,IP,1
S,N,REP5,000,OSS,OSS,1
S,P,REP5,000,IP,IP,2
S,P,REP5,000,OSS,OSS,3
S,G,RIA,000,FIS.,FIS.,0
S,G,RIA,000,LOGO,LOGO,0
S,G,RIA,000,NEURO,NEURO,0
S,G,RIA,000,TEROC,TEROC,0
S,G,RIA2,000,FIS.,FIS.,0
